,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,United Arab Emirates,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Viet Nam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1970,,,,,,,,,,,3.439153439,4.372824416,,-0.199650611,3.908472385,,1.772603315,,,1.628981278,6.152093421,,,,3.955509211,,7.284216374,,,,,3.346039814,,3.615986786,,,8.205190543,5.858085809,8.025284045,,6.908622758,,,4.652297493,,,,2.40018825,,3.450249364,,12.39349896,6.514841417,3.816666666,6.599999999,,3.812664908,,,,5.17127612,3.762898596,4.1406484,5.731144843,,10.12195122,4.50608893,,2.740420431,4.124178563,5.299641246,,3.812664908,6.366568417,,3.030303031,,-1.98509388,,,2.841670679,,2.344339349,,,,2.880886427,,,1.368493407,,,,,5.34984091,12.39946465,,5.09226162,8.207190161,1.66687094,4.355595265,13.37247515,6.110742036,4.968319873,14.7280042,5.899999999,6.924173835,,2.188527039,,,,,15.95034236,,4.303903352,,,,-5.296371422,13.39876253,4.652297493,,,5.866956078,,,,,,4.639353444,,,1.279181324,,2.878645343,,3.739278722,5.003412055,,,,3.715658848,-4.008438818,4.05924693,,,,,1.541865943,,1.843935966,4.592147576,,1.117838845,13.75707992,,3.668930888,10.63720653,15.23727845,6.517181052,5.731144843,,,5.34984091,3.083294984,5.025235901,14.38146168,,,,,6.38014449,-0.859556021,,,4.968319873,,,,0.514885808,5.608398494,0.177777778,4.02779565,2.810248199,0.463352991,,,2.817853922,,,,,,,,2.588042588,,,7.016358851,1.849539566,,,4.637681159,,,,4.480620155,-0.088041086,,4.303903352,,4.05924693,,5.608398494,,2.523900574,,7.923952083,3.492884864,,,,16.30614494,5.838255338,,,,,,,2.742409403,,,4.991877117,,
1971,,,,,,,,,,,6.138107417,4.704258138,,3.85096274,4.343628546,,2.06121818,,,5.789473685,4.614971827,,,,3.674614306,,7.469255664,,,,,2.704918033,,6.573221119,20.0522312,,-0.443745436,4.014029618,5.777349826,,11.9402617,,,3.083048414,,,,4.144006128,,5.240974483,,3.637406039,5.869869591,3.580028897,2.626641651,,4.195298373,,,,9.52167078,3.140421714,5.016319433,8.236887149,,0.536224282,5.240974483,,6.475765431,9.138193689,5.397518656,,3.863260897,9.444837423,,9.558823537,,3.05622578,,,3.289470722,,-0.453591881,,,,2.223247942,,,9.579583282,,4.009306483,,,4.014029618,4.233748945,,3.079938684,8.961748634,4.195298373,3.595890411,6.73187453,11.97256816,4.791664383,5.336179296,4.815864024,6.395348837,,3.780206125,,,,,13.51170233,,4.313935621,,,,-3.103849408,8.391345249,4.784114382,,,2.665380209,,,,,,4.67221498,,,4.155352068,,5.385881492,,4.175325221,5.469028994,,,,2.323812158,2.087912088,3.87562124,,,,,0.316344464,,1.613035964,3.49884236,,4.191616766,15.99911485,,7.477678677,6.223863235,-1.999503845,10.38756832,6.395348837,,,4.730691482,1.919642857,6.790639365,21.40334354,,,1.099999999,,11.94689837,4.953256936,,,6.138107417,,,,0.488580074,2.872659446,4.475,1.303669009,3.878202632,1.761006289,,,0.445808668,,,,,,,,0.215551653,,,7.395541138,2.321661176,,14.59929287,5.609418283,,,,6.492061136,0.484652665,,4.953256936,,3.87562124,,2.872659446,,3.531020763,,19.01140868,4.775,,,,23.95308891,4.292766688,,,,,,,4.766444233,,,5.957397738,,
1972,,,,,,,,,,,6.024096386,6.355146127,,3.828557669,5.448431284,,-2.923356559,,,5.088195386,6.830811319,,,,6.511544012,,11.87665623,,,,,4.988028731,,6.660007042,77.79574048,,0.310313699,8.092918696,15.80421539,,12.44445899,,,4.601125693,,,,4.832303619,,5.484933122,,3.687995575,6.562360903,8.640731556,3.65630713,,6.075,,,,7.5251179,2.102363346,5.906253517,8.272287549,,-6.081511972,6.007389699,,6.662497835,21.97850406,6.063003097,,3.487091643,7.071098395,,10.06711409,,8.698119901,,,4.331201232,,0.529703252,,,,3.612281758,,,3.189693969,,6.411974899,,,5.507441194,6.521749213,,6.442097462,8.605817453,6.398241351,5.185950413,9.811323913,12.88147082,5.749503937,5.427702996,7.657657658,4.843517139,,5.831644743,,,,,11.68898668,,5.18569768,,,,-0.251023192,7.880576289,6.671177665,,,6.34948605,,,,,,5.225680506,,,3.759170557,,5.622559653,,4.045175133,4.943692364,,,,3.372761068,7.64262648,3.707738844,,,,,5.395935529,,3.231554224,4.130153489,,9.751168372,3.457649752,,7.802792193,7.25843583,8.389023896,6.932804592,6.562360903,,,5.183237645,5.409548839,7.219722168,8.204034135,,6.075,-0.098911967,,10.66335598,9.180374973,,,6.063003097,,,,3.092193809,6.395791756,4.331179708,13.55475071,6.154884174,2.080758138,6.87754613,,1.535215367,,,,,,,,3.234286625,,,6.007389699,2.366332185,,20.94099499,2.098360656,,,,7.726607678,4.837766735,,6.511544012,,3.707738844,,6.395791756,,9.301068813,,15.41645572,7.63540921,,,,76.48492378,3.272278247,,,,,,,7.506824386,,,6.425708446,,
1973,,,,,,,8.266666666,,,,9.090909091,7.531078038,,6.006493507,6.955280087,,7.603890363,,,14.33182698,5.481754162,,,,31.48602879,,16.85508183,,,,,7.487647282,,8.75467033,352.8109866,,11.10298667,10.3847487,15.64276212,,22.52964868,,,15.21403422,,,,7.808882341,,7.032023993,,12.09911672,9.30338298,15.07953492,6.172839506,,12.08193946,,,,12.12814646,5.112184039,7.91554615,11.41670761,,8.913580247,7.749086129,,10.75447188,11.08531821,7.380601064,,6.207141168,9.196033167,,17.68292682,,6.918608446,,,15.38462407,,13.79603399,,,,5.193201627,,,22.73891948,3.387978142,13.1238462,,,11.31442209,31.04188127,,16.94081598,11.41485039,9.819486733,4.89098409,21.35493092,20.0323771,10.79861745,17.68259198,11.12970711,11.60862355,,9.281194223,,,,,3.221029047,8.266666666,13.19070702,,,,7.970895563,13.4406007,13.61831735,,,9.626643102,,,,,,6.068098359,,,4.084614036,,6.120101865,,8.266666666,12.08193946,,,,7.689289918,25.2,7.071867535,,,,,13.45079787,,10.56017574,6.832703673,,11.78501554,5.402664454,,8.022209959,7.419472836,11.42977253,8.166669273,9.143471129,,,23.07008403,6.856430501,9.489051095,16.58003226,,8.343153429,2.475247525,,12.97460852,12.79689453,,,8.094439616,,,,9.373674076,14.18529425,16.51376147,15.28908795,11.28531073,19.63673058,3.228699551,,6.391974203,,,,,,,,12.94081333,,,6.717997398,11.54352597,,18.23979592,20.35966602,,,,3.615314966,15.5095497,,13.79603399,,7.071867535,,14.18529425,,14.81074548,,13.93816524,10.3968078,,,,96.99726532,6.177760064,,,,,,,11.764243,,,9.433987349,,
1974,,19.59839357,,,,,15.52828175,,,,15.41666667,9.521788197,,15.7223073,12.67788775,,8.719609454,,,24.39299831,13.07184584,,,,62.8360756,,38.92292809,,,,,10.99717115,,9.767414319,504.7385412,,17.35938845,17.23293349,29.46928105,,23.87095737,,,30.07362928,,,,16.17666667,,6.986431093,,34.37607425,15.27520622,13.14076737,4.699612403,,19.0704733,,,,22.70408162,10.02431775,14.66484544,15.6803734,,8.592155974,13.16360261,,16.9364,14.49846951,13.64931747,,12.07280419,16.04401119,,18.13471503,,9.23631036,,,26.56084659,,16.49489669,,,,12.84954775,,,14.95069734,1.797040168,22.36452945,,,18.54886174,40.49179044,,28.59873408,16.97612732,14.24893554,7.7,42.51618196,39.67997045,19.15976959,27.15818946,19.42771084,23.22224581,,17.80994803,,,,,24.30419954,12.99261084,23.24404853,,,,7.458451561,34.22060423,23.24404853,,,12.3028868,,,13.42283452,,,9.540655417,,,17.55682275,,22.10094442,,14.24893554,23.78401544,,,,7.255616272,25.21166134,12.13662664,,,,,29.11563031,,17.32898098,11.02598798,,3.397508494,12.67439318,,9.591422673,9.411768132,19.80633803,11.10940201,15.54852003,,,26.66303485,16.26806663,16.89166667,34.16359164,,23.16728301,7.053140096,,25.08277786,25.23331778,,,13.16360261,,,,31.08829937,23.23468644,21.43700787,26.1581023,16.60109151,22.36842105,18.85317116,,16.89903684,,,,,,,,16.87619568,,,9.911725301,19.28777545,,24.42466739,15.52828175,,,,12.83193169,24.31355983,,23.78401544,,12.13662664,,23.23468644,,22.02497727,,23.89816158,19.59839357,,,,77.21341378,11.0548048,,,,,,,24.98767866,,,11.72412592,,
1975,,15.22409894,,,,,9.669695482,,,,15.16245487,8.445258639,,15.7098746,12.76819859,,18.75694661,,,16.15978212,10.359635,,,,7.976746025,,20.29446876,,,11.97475502,,10.6721886,,6.696595225,374.7352742,,11.44422397,13.55332941,28.6579702,,23.43750257,,,17.36920202,14.05121135,,,4.63948584,,5.910336263,,19.90278844,9.605612075,14.50172574,8.230316653,,12.87918183,,,,14.28967429,9.669695482,12.22706292,16.95328593,,6.550104384,10.46757346,,17.81139723,13.06488098,11.68592725,,28.45294264,24.20728767,,29.8245614,,25.925,,,13.62876178,,13.15924438,,,,8.376162506,,,16.77357032,3.842159918,13.42594187,,,13.55332941,19.16569713,,5.748430298,20.87585034,12.87918183,9.517177344,49.36133823,39.30673102,16.95050257,17.37614679,11.97982346,11.73126615,,19.12018401,,,,,25.24925641,8.392370572,14.94453464,,,,9.119200301,17.7427877,16.77357032,,,6.625992553,,,14.21193968,,,10.71767113,,,7.918289267,,8.191212832,,9.669695482,14.94453464,,,,8.791666666,31.65566293,9.593436413,,,,,14.73832327,,4.487722269,9.90766773,,9.115802051,33.96418832,,10.21747579,11.68922348,7.585985214,14.68498347,14.15687263,,,20.90450946,5.881041307,23.6187353,6.761402705,,10.49099258,2.25631769,,15.27168575,6.693060084,,,11.68757537,,,,30.22604657,7.105988883,34.57610634,23.96304764,31.65342332,2.536531569,10.06944444,,19.08849965,,,,,18.31178575,,,8.447328423,,,9.779873988,12.04574193,,18.61137201,11.46496815,,,,18.0121995,5.330097087,,16.8763154,,9.593436413,,7.105988883,18.31178575,16.97906047,,21.22735524,26.05775688,,,14.28967429,81.40538401,9.143146865,,6.797706797,,,,,8.787742226,,,13.42594187,,
1976,,11.21647132,,,,,10.31741589,,,,13.32288401,7.318685451,,6.856551574,9.068609811,,-8.400718778,,,22.49576658,4.255836576,,,,4.494011647,,4.986768111,,,11.73242361,,7.54173863,,1.715476323,211.9243022,,12.07664022,9.930650564,80.38595908,,19.83122492,,,3.485833333,9.869328938,,,3.854389722,,4.246631023,,10.90249627,9.010290836,7.765550239,9.430735402,,10.12208407,,,,10.17463012,10.31741589,9.711421109,17.62488005,,28.53783982,9.347052796,,14.34269309,11.43243643,9.625495782,,20.17156446,16.55952256,,56.08108108,,17.02733108,,,13.02427946,,10.725,,,,4.883418958,,,7.038152278,5.228398333,10.31741589,,,10.06953803,19.8286537,,-7.633947634,17.98569586,11.25614251,12.82323018,32.03511022,31.31086533,16.61416647,9.793653275,11.5,9.374036386,,11.44903049,,,,,15.32732052,5.235042735,9.793653275,,,,5.47921528,9.669119847,9.793653275,,,1.329518681,,,11.412552,,,9.797346437,,,8.502152443,,4.986815119,,11.25614251,15.82472249,9.86215192,,,0.55151283,22.3844017,10.7867792,,,,,12.95572917,,2.633711507,6.643275633,,23.52968016,24.3,,8.830651586,9.161472765,-3.113235733,16.90685701,11.63675206,,,7.158323731,3.949999999,33.48327566,9.199227136,,7.656649616,4.413062666,,21.1419048,4.474614747,,,9.267754576,,,,7.165861514,-0.891858526,31.55866056,1.674884264,1.083092187,-1.841892982,4.255319149,,7.034689632,,,,,11.54488065,,,10.06953803,,,10.24922465,6.530912659,,14.86873363,11.42857143,,,,11.64073081,4.149305555,,9.931595653,,10.7867792,7.109575835,-0.891858526,11.54488065,10.69246436,,17.45568939,6.859350027,,,10.81374813,50.62304956,5.744812635,,11.28898262,,,,,4.903686827,,,11.02039064,,
1977,,14.23805549,,,,,11.98928332,,,,12.30982019,5.494615681,,6.834514041,7.096000591,,29.9861043,,,17.73112089,3.189876371,,,,8.107255521,,8.352369699,,,13.16872428,,7.976445396,,1.295999163,91.95413256,,27.42186151,14.69830916,68.9477082,,33.80281836,,,4.190240453,9.503655252,,,7.326460481,,3.734162406,,9.503655252,10.92223781,12.85352751,11.98928332,7.601266878,12.1569315,,,,12.94441387,12.73216279,9.767464736,24.53806329,,16.65713959,9.767464736,,11.79334692,7.00630445,9.494554672,,13.85256909,15.84026675,,116.4502165,,12.38973083,,,12.36979709,18.45688351,12.32457969,,,,8.434707719,,,6.491900581,3.908895696,11.82027754,11.89304475,,10.15994045,11.05208979,,8.307470092,13.47225529,27.28778468,9.16776254,30.31674127,34.61671487,17.13004879,11.19100164,14.56651719,8.161826896,,14.82096448,,,,,10.09666533,9.889519259,10.68895742,,,,6.280213028,8.8657319,10.68895742,,,1.224879588,,11.96581197,16.68831169,,,6.705494115,,,12.59700099,,3.108952891,,11.98928332,29.06412471,11.26579364,,,10.0403748,-1.156687243,12.29314216,,,,,9.172498971,,4.788224014,7.239064695,,23.25108961,15.08783406,,6.399294874,9.103839712,9.898852843,14.38354942,11.18202146,,,10.13296769,4.585537919,38.05409142,9.898751597,,4.528582035,4.902789518,,31.0167491,9.359852917,,,9.299197192,,,,13.65514651,9.103161467,11.39901117,17.07633079,11.34058564,3.163950144,8.616780045,,11.82027754,,,,,14.8900665,,,9.731132769,,,11.44180511,20.80512183,,14.95916852,11.96581197,,,,22.45701341,7.601266878,,11.19100164,,12.29314216,17.53793845,9.103161467,14.8900665,11.74486354,,25.98533787,11.6041381,,,11.19100164,58.19617502,6.501683995,,10.1869132,,,5.73650948,,14.61079027,,,11.15196409,,
1978,,12.52689251,,,,,9.71603275,,,,8.004926108,3.574318576,,23.89562065,4.470593316,,8.269140072,,,15.78553759,6.109070359,,,,10.35567228,,9.482382591,,,9.04398827,,8.973723352,,1.028792895,40.08722463,,13.24298685,12.46305234,48.76903761,,17.76315909,,,6.0071271,8.823529412,,,7.436283299,,2.718696961,,7.712579058,10.21365457,3.477850342,17.52392345,6.263048017,9.314183696,,,,13.09813858,11.07810038,7.573697723,19.7736705,,14.30811446,7.755231446,,7.799350746,6.108071005,9.250558467,,10.7641691,8.263141039,,73.09166667,,8.855345912,,,12.57242567,18.13537676,8.28797625,,,,5.748324646,,,-2.673594984,4.687142749,10.35567228,9.533380856,,8.670572087,8.112582595,,2.523048757,7.711112146,11.7219692,4.611942867,43.74999829,50.55092465,12.09401384,34.89980152,6.9215213,4.209566011,,16.93178246,,,,,14.46028502,8.689745123,10.50795993,,,,29.37979416,10.87751829,10.30612922,,,12.14159728,,9.04398827,13.48357901,,,3.094660774,,,9.71603275,,6.528446923,,9.71603275,17.45729257,8.933758841,,,4.70751125,-6.044706126,10.39706657,,,,,8.545139151,,4.860064586,8.302343595,,10.09320028,21.70924574,,4.112011963,8.161671543,7.346091251,11.95661797,8.618432195,,,6.138692667,4.200521233,57.84878263,7.334525939,,5.799999999,8.101265823,,21.03877236,10.66024759,,,8.083298826,,,,13.2705338,6.742391959,-1.58360185,19.2304044,3.419651056,4.872543813,6.263048017,,13.27512329,,,,,11.45942944,,,8.823529412,,,9.995265417,8.517614763,,11.78325123,4.809160305,,,,0.442773094,7.924089853,,10.35567228,,10.39706657,9.584379121,6.742391959,11.45942944,10.25658617,,61.89704444,6.575,,,10.66024759,44.54834367,7.630963839,,8.429528103,,,6.413793103,,2.058658857,,,11.13560765,,
1979,,15.06984982,,,,,,,,,9.122006842,3.707400964,,36.540757,4.469083949,,14.99346595,,,2.205991951,9.091393268,,,,19.71971678,,13.16983554,,,11.73623064,,9.144676979,,3.647640106,33.38921901,,16.34235657,6.580610819,101.0512604,,24.13407574,,,9.188410437,14.00607185,,,9.463708295,,4.043620065,,,9.611050379,9.173805134,11.34860051,7.80675825,11.54241557,,,,10.11719087,9.904360512,8.465334904,15.6602356,,16.03223594,8.22168693,,7.466961513,7.80675825,10.64673417,,7.952698538,13.42127998,,54.44128833,,6.128957707,,,19.09417468,20.88288288,11.34338588,,,,12.13535589,,,13.0939243,8.976412347,12.82500238,,,9.390042713,16.23276576,,6.275683368,13.29546882,10.48723673,,44.4444558,78.31003559,14.79857357,29.07925961,14.24649176,3.701850925,,7.979352618,,,,,18.32349634,7.049999999,14.84230817,,,,-6.03902875,9.390042713,14.72217037,,,10.73192143,,,16.0035524,,,4.54652779,,,8.331365418,,14.05559226,,7.739236428,18.1912463,11.34599319,,,7.147107438,5.672295029,9.904360512,,,,,14.46637021,,3.654467998,10.19957405,,7.267877072,11.70973062,,4.199299902,4.509727612,3.565453785,13.69959502,10.12889228,,,8.267046976,7.988818596,66.69442297,17.53333333,,5.765595463,7.025761124,,21.89922481,28.1610386,,,9.049209594,,,,15.67332944,7.271365172,1.081566903,31.13845501,9.653359853,4.076465375,8.055009823,,14.05602474,,,,,13.67462545,,,14.84230817,,,7.20978617,16.45351697,,12.48016922,4.552075747,,,,7.539251208,9.897365966,,14.78223927,,9.904360512,5.460015528,7.271365172,13.67462545,14.72217037,,63.54310825,12.94862773,,,11.73623064,66.84428619,11.25447113,,15.60847832,,,4.169367034,,11.119551,,,13.29365865,,
1980,,15.06651154,,,,,9.626056646,,,,10.13584117,6.328325362,,2.4985195,6.648688297,,12.2026365,,,3.869525059,12.09783723,,,,47.2416501,,14.43051972,,,13.63242515,,10.12922051,,4.022500848,35.13834053,,14.7009813,9.551754276,46.62590683,,26.55265315,,,18.1351708,17.207475,,,13.51756058,,5.441057545,12.05802357,,12.30532408,16.75313569,9.517824498,14.49287441,14.68450278,,,,11.90928938,20.81922493,13.54006971,15.5619021,,4.482537806,12.91144233,,11.59461925,14.49287441,13.56257885,,12.34035926,17.96592427,,50.07013934,,6.824615652,,,24.67589397,21.82143389,10.82384323,,,,18.06154304,,,17.77830525,9.285857439,17.47030428,15.48791146,,14.10970645,18.03543016,,11.34607348,18.15446226,20.64391444,,58.52842609,131.0249955,21.06416828,27.30815899,11.11111111,7.778581766,,13.85818146,,,,17.7366548,28.69760864,6.928226686,18.1351708,,,,9.734288795,19.47772911,17.91992414,,,26.1454101,14.27134212,,16.27484162,,,6.299900062,,,9.408379474,,18.21786589,,10.42269995,26.35165136,16.75313569,,,15.7472541,0.608153084,11.58456734,,,,,41.99951439,,6.674919535,11.83921124,,10.30527571,9.97226199,,6.513455455,10.87866109,14.68450278,17.15054542,13.63445061,,,11.93823091,13.80790191,59.14507124,18.20051049,,12.06434316,9.682713348,,15.86748038,22.44733014,,,11.94997166,6.799999999,,,7.249392993,13.31136684,4.169266554,25.35236901,8.729027661,8.526943194,13.09090909,,17.36696826,,,,,13.60198283,15.12006425,,14.10970645,,,13.70632236,18.6839754,,13.57154051,19.2964124,,,,12.30685721,19.70350052,,18.06154304,,11.58456734,22.39338892,13.31136684,13.60198283,17.47030428,,94.26085988,30.1973001,,,18.03543016,63.47583043,13.54920197,,17.207475,,,11.24014932,,33.0472429,,,13.66024069,,
1981,,14.46159107,,8.799210833,,,10.75850342,,,,9.487666034,6.803041776,,12.16739435,7.627486568,,7.555705604,,,11.34459681,11.1144985,,,11.2244898,32.13360111,101.725073,14.56756321,9.137055838,9.972375691,16.42802677,-0.033333333,12.47161241,,6.49030964,19.68683271,,8.799210833,10.7275,35.40826487,,27.45376243,,,37.05634152,12.73565665,,,10.74469361,,6.344242777,5.717367854,13.26668749,11.76738743,7.514638907,14.65484264,12.66299307,12.41326137,,,,14.04796867,10.31728422,11.50975584,14.54934572,,6.135967187,11.76738743,,11.30575665,11.18066676,13.31440557,,8.706502149,11.87662651,,116.503604,,5.944227006,,,24.5060676,18.78747094,11.43306795,,11.42717632,,9.405691261,11.33651544,,10.85833333,4.661413944,14.18992764,13.028648,12.02365397,11.87991359,12.26590851,,13.1125469,20.37351107,24.20358976,,51.7932416,116.8000344,17.96929875,12.73971811,7.7,4.912162918,,11.60305344,,,,10.4763632,21.35164025,7.374781596,13.65732808,,,,11.19972261,15.12484438,14.04796867,,12.16739435,17.9689955,11.87991359,12.85720779,12.41326137,,,8.072943759,,,12.49252839,,30.53817743,,11.27215971,27.9337626,12.97469747,,,11.50975584,0.318444733,11.8461255,,,,,14.46159107,11.81469755,9.7,11.40316388,,22.91340756,20.81282291,,6.738926552,13.64296081,11.14485673,15.37015958,13.64296081,,11.04464521,11.87991359,7.302328365,75.43326876,13.08259852,,8.054226476,19.12718204,,19.04041075,12.97469747,,,11.76738743,8.520599251,,,6.450664472,11.87991359,2.798982188,24.57572433,5.91319372,8.182021968,16.39871383,,14.79715163,,,12.41326137,,12.29032786,12.12270624,,8.793969849,,42.62295273,12.10393853,20.05579665,,10.5767904,18.39416058,,,,19.71650236,12.66299307,,14.18992764,,11.8461255,14.89924812,11.87991359,12.29032786,14.3318866,,37.61478258,25.65002393,,,14.25477987,34.04533586,10.33471534,,12.73565665,,,26.84563758,12.44243689,20.50662445,,,15.25424427,,
1982,,12.1399177,,12.05976521,,,8.331255756,,,,11.35181976,5.436030825,,5.868096357,8.726549066,,12.05976521,,,8.885713085,6.012621017,,,6.839032527,123.5357186,100.5433592,10.33246644,6.356589147,9.846772168,11.13720643,13.2960987,10.7689719,,5.655101824,9.94102693,,7.583125896,13.25701986,36.69969757,,24.72098825,,,90.12133285,6.839032527,,,6.432797267,,5.241045072,-2.410714286,4.394594098,10.12082568,7.646243066,6.54250963,7.031556894,10.22172714,,,,16.28448805,14.82300885,9.584927647,14.41500205,,5.890061077,9.584927647,,9.584927647,7.031556894,11.97847195,,16.68579688,8.598863833,,22.29556641,,10.85584546,,,20.99108862,7.812741412,0.307385561,,8.885713085,10.97046414,8.982621706,12.31245087,,7.359242276,6.835805083,10.83250686,10.81658525,10.81658525,7.228256622,9.445423954,,7.890742794,17.1471262,18.68972593,,50.24322639,120.3643514,16.48041462,6.545407967,7.428040854,2.741040956,,20.66671467,,,,5.927222982,7.19084664,7.776798427,7.729492239,,,,10.25880886,4.614067499,7.812741412,,12.05976521,10.82574917,10.5278073,10.83180977,12.1399177,,,9.357050994,,,10.5278073,,31.78970465,,8.331255756,58.91341985,10.25880886,,,5.818233972,5.304740405,10.39330808,,,,,11.41569313,9.821162444,5.81890003,8.45019945,,11.64183574,7.697747247,,5.911096585,11.34099617,11.69854659,16.16369412,11.34099617,,7.659255176,5.903528784,4.250571763,64.44815854,10.22172714,,5.535055351,103.5587189,,21.67928373,5.120065437,,,9.470989321,5.7,,,12.56513653,9.846772168,1.021039604,25.71287975,17.37638522,3.91628678,12.98342541,,11.72888687,,,12.1399177,,12.09984145,7.129906758,,7.276408618,,30.1125436,8.58918509,10.80742134,,-0.912646675,14.30332922,,,,11.12967333,5.259079903,,8.397681559,,10.39330808,10.83787038,9.846772168,12.09984145,11.63476294,,29.1375145,28.93233465,,,9.852116405,18.9925013,6.131427,,7.228256622,,,6.672545561,10.22172714,18.29622459,,,14.63903242,,
1983,,11.56752438,,10.67193676,,,5.493665514,,,,10.03891051,3.339164534,,8.151231356,7.661609837,,8.153762774,,,2.972399151,4.0,,,4.9960968,275.5862836,135.0276822,5.230298783,1.166180758,18.05777879,10.47714381,14.61261129,5.86358803,,2.949794435,27.25719467,,5.640428433,16.63122641,76.52669767,,19.59731706,,,32.62370815,4.411808075,,,5.049714241,,3.293414743,0.901842896,4.147952444,6.908228812,5.628623294,5.96716393,6.704183998,10.24366335,,,,48.41822208,16.07987388,8.669271598,12.17407274,,-0.675378065,8.669271598,,8.366292606,6.704183998,9.459548472,,10.67193676,4.609303273,,122.8745146,,10.63630368,,,20.17948129,6.095347282,4.538678151,,6.908228812,9.885931559,8.252811658,11.12664412,,10.24366335,7.279895733,11.83391091,10.62075365,8.804138369,6.3620335,11.79974052,,11.8680813,10.44762553,19.74018918,,83.95004619,145.9515392,14.64657667,11.58211108,5.020167098,1.899719713,,11.39778274,,,,2.29153537,3.420614195,4.718168093,10.91288722,,,,10.60520362,1.473058535,10.24366335,,9.35546508,13.96438801,11.56752438,10.62075365,17.49235474,,,8.669271598,,,6.207935389,,19.32833859,,5.493665514,101.8749384,10.67193676,,,-0.88099756,5.650083363,6.167613865,,,,,5.589498018,13.50251052,3.704235463,4.538011631,,-2.489605687,23.21233155,,2.740840332,8.465244322,12.37723808,7.341075861,8.873021524,,5.31960613,6.3620335,2.102841244,111.1506352,10.02935656,,7.902097901,25.53475936,,24.00276238,13.43375556,,,7.310485797,2.743614001,,,6.593002143,12.37723808,0.191424196,30.58777478,11.61698457,1.196410768,6.234718826,,13.31431773,,,11.56752438,,11.48265356,5.140006512,,4.411808075,,40.21349184,8.873021524,11.56752438,,6.052631579,6.127292341,,,,9.35546508,3.726536621,,10.91288722,,6.167613865,9.813553118,12.37723808,11.48265356,15.175,,31.39027102,27.05592753,,,10.54117372,49.19737965,3.212435233,,5.45838799,,,1.65334803,8.669271598,16.46013561,,,12.30320714,,
